Descriptor,Statistics,p,alpha,Interpretation
AATS8p,1017173657.5,7.319653080434657e-214,0.05,Different distribution (reject H0)
AATS0i,1076563247.5,1.0288554396975419e-67,0.05,Different distribution (reject H0)
AATS1i,1106637692.0,2.3728381170961493e-25,0.05,Different distribution (reject H0)
AATS2i,1103432782.0,7.422615356557301e-29,0.05,Different distribution (reject H0)
AATS3i,1068354038.0,5.7149738338828855e-83,0.05,Different distribution (reject H0)
AATS4i,1124329959.0,2.577383901465222e-10,0.05,Different distribution (reject H0)
AATS5i,1070377839.5,4.6251682135372226e-79,0.05,Different distribution (reject H0)
AATS6i,945260529.0,0.0,0.05,Different distribution (reject H0)
AATS7i,1121009883.5,1.3926995393398735e-12,0.05,Different distribution (reject H0)
AATS8i,1081111380.5,6.05294795704694e-60,0.05,Different distribution (reject H0)
ATSC0c,1136165101.5,0.0002742928001508175,0.05,Different distribution (reject H0)
ATSC1c,1103671419.5,1.3797486891309527e-28,0.05,Different distribution (reject H0)
ATSC2c,987310845.0,0.0,0.05,Different distribution (reject H0)
ATSC3c,1129291512.5,2.1194633133242898e-07,0.05,Different distribution (reject H0)
ATSC4c,921149163.5,0.0,0.05,Different distribution (reject H0)
ATSC5c,1035115869.0,5.9624280904651055e-161,0.05,Different distribution (reject H0)
ATSC6c,1078505808.0,2.456686252545583e-64,0.05,Different distribution (reject H0)
ATSC7c,994245614.0,1.6129065779681852e-292,0.05,Different distribution (reject H0)
ATSC8c,1007591916.5,3.166632992827828e-245,0.05,Different distribution (reject H0)
ATSC0dv,1145868334.5,0.11618969451163558,0.05,Same distribution (fail to reject H0)
ATSC1dv,1063619610.0,1.729887343246634e-92,0.05,Different distribution (reject H0)
ATSC2dv,943167036.5,0.0,0.05,Different distribution (reject H0)
ATSC3dv,1130324872.0,7.284739318064091e-07,0.05,Different distribution (reject H0)
ATSC4dv,1055511363.0,5.1302181382552e-110,0.05,Different distribution (reject H0)
ATSC5dv,1140657752.5,0.00800448671589372,0.05,Different distribution (reject H0)
ATSC6dv,1039184073.5,5.217553721760825e-150,0.05,Different distribution (reject H0)
ATSC7dv,1083398826.5,3.205139882300942e-56,0.05,Different distribution (reject H0)
ATSC8dv,1146973333.0,0.17445542016389515,0.05,Same distribution (fail to reject H0)
ATSC0d,1141980382.5,0.017845147309187934,0.05,Different distribution (reject H0)
ATSC1d,1133925707.0,3.478002250256635e-05,0.05,Different distribution (reject H0)
ATSC2d,1102069500.0,2.027069602281119e-30,0.05,Different distribution (reject H0)
ATSC3d,1137746583.0,0.0010101454664679292,0.05,Different distribution (reject H0)
ATSC4d,989663896.5,1.009145649698044e-309,0.05,Different distribution (reject H0)
ATSC5d,1102047519.5,1.9111752296226207e-30,0.05,Different distribution (reject H0)
ATSC6d,1089699511.5,1.3410315452983894e-46,0.05,Different distribution (reject H0)
ATSC7d,1127066525.0,1.227081059193744e-08,0.05,Different distribution (reject H0)
ATSC8d,1087175604.0,2.427780065646248e-50,0.05,Different distribution (reject H0)
ATSC0s,1122583592.5,1.779596079743853e-11,0.05,Different distribution (reject H0)
ATSC1s,1095423451.0,1.1487409605768487e-38,0.05,Different distribution (reject H0)
ATSC2s,904768407.0,0.0,0.05,Different distribution (reject H0)
ATSC3s,1054131447.0,3.740680555361154e-113,0.05,Different distribution (reject H0)
ATSC4s,1096150120.0,1.0287702856933846e-37,0.05,Different distribution (reject H0)
ATSC5s,1101402693.0,3.3587388366008723e-31,0.05,Different distribution (reject H0)
ATSC6s,1021000635.0,6.116656516995078e-202,0.05,Different distribution (reject H0)
ATSC7s,1133616167.0,2.5616139079228514e-05,0.05,Different distribution (reject H0)
ATSC8s,1107619953.0,2.519381650625278e-24,0.05,Different distribution (reject H0)
ATSC0Z,1070919245.5,4.946299297248729e-78,0.05,Different distribution (reject H0)
ATSC1Z,1122719929.0,2.2053969651528972e-11,0.05,Different distribution (reject H0)
ATSC2Z,926864437.0,0.0,0.05,Different distribution (reject H0)
ATSC3Z,1106481553.5,1.6221530769739739e-25,0.05,Different distribution (reject H0)
ATSC4Z,1100606658.5,3.806936791815502e-32,0.05,Different distribution (reject H0)
ATSC5Z,1101119659.0,1.5547923124951012e-31,0.05,Different distribution (reject H0)
ATSC6Z,1115121425.0,3.119937044612159e-17,0.05,Different distribution (reject H0)
ATSC7Z,1105888573.0,3.780878988274097e-26,0.05,Different distribution (reject H0)
ATSC8Z,1064223027.5,3.023950526664021e-91,0.05,Different distribution (reject H0)
ATSC0m,1074356693.0,1.168548734449181e-71,0.05,Different distribution (reject H0)
ATSC1m,1128072760.5,4.5972484788876656e-08,0.05,Different distribution (reject H0)
ATSC2m,929097000.5,0.0,0.05,Different distribution (reject H0)
ATSC3m,1107454994.5,1.7005085975263837e-24,0.05,Different distribution (reject H0)
ATSC4m,1106009774.5,5.099649609689313e-26,0.05,Different distribution (reject H0)
ATSC5m,1101184586.5,1.8559909135358622e-31,0.05,Different distribution (reject H0)
ATSC6m,1123895066.5,1.3448641688429324e-10,0.05,Different distribution (reject H0)
ATSC7m,1102625524.5,8.910155200645005e-30,0.05,Different distribution (reject H0)
ATSC8m,1063680374.5,2.3095721880534986e-92,0.05,Different distribution (reject H0)
ATSC0v,1146253979.0,0.1347168115623955,0.05,Same distribution (fail to reject H0)
ATSC1v,1057704674.0,4.019773398604581e-105,0.05,Different distribution (reject H0)
ATSC2v,1070712384.0,2.003901753637848e-78,0.05,Different distribution (reject H0)
ATSC3v,1044076412.0,2.289670579080471e-137,0.05,Different distribution (reject H0)
ATSC4v,1069860149.5,4.727174463034408e-80,0.05,Different distribution (reject H0)
ATSC5v,1056197315.0,1.790251267874161e-108,0.05,Different distribution (reject H0)
ATSC6v,1028584376.0,2.4683701654304395e-179,0.05,Different distribution (reject H0)
ATSC7v,1034356143.5,4.884496956400495e-163,0.05,Different distribution (reject H0)
ATSC8v,1051871631.5,2.1808901463553655e-118,0.05,Different distribution (reject H0)
ATSC0se,1145200214.0,0.0885120678996299,0.05,Same distribution (fail to reject H0)
ATSC1se,1020180757.5,1.826021472646741e-204,0.05,Different distribution (reject H0)
