Descriptor,Statistics,p,alpha,Interpretation
MATS6s,1022534023.0,2.928158669554165e-197,0.05,Different distribution (reject H0)
MATS7s,1097422198.0,4.4585982325310884e-36,0.05,Different distribution (reject H0)
MATS8s,1111940484.5,4.4339293329400425e-20,0.05,Different distribution (reject H0)
MATS1Z,1146883120.0,0.16909935349586813,0.05,Same distribution (fail to reject H0)
MATS2Z,954374440.5,0.0,0.05,Different distribution (reject H0)
MATS3Z,1115920630.0,1.4876039083020957e-16,0.05,Different distribution (reject H0)
MATS4Z,1092885953.5,4.3491439759935256e-42,0.05,Different distribution (reject H0)
MATS5Z,1108448807.5,1.7765259936215575e-23,0.05,Different distribution (reject H0)
MATS6Z,1097181323.5,2.1987704272852298e-36,0.05,Different distribution (reject H0)
MATS7Z,1138183208.0,0.001415730566146375,0.05,Different distribution (reject H0)
MATS8Z,1101545206.0,4.942131319138403e-31,0.05,Different distribution (reject H0)
MATS1m,1141358557.0,0.012372176394326426,0.05,Different distribution (reject H0)
MATS2m,957132261.5,0.0,0.05,Different distribution (reject H0)
MATS3m,1116612110.0,5.589882938640817e-16,0.05,Different distribution (reject H0)
MATS4m,1096610752.5,4.0686459084439765e-37,0.05,Different distribution (reject H0)
MATS5m,1109045138.5,7.078354759162057e-23,0.05,Different distribution (reject H0)
MATS6m,1104913974.0,3.3126439823875505e-27,0.05,Different distribution (reject H0)
MATS7m,1135099443.5,0.00010602258920401877,0.05,Different distribution (reject H0)
MATS8m,1100568275.5,3.4245605626619415e-32,0.05,Different distribution (reject H0)
MATS1v,1065806755.0,5.0237345625458963e-88,0.05,Different distribution (reject H0)
MATS2v,1086686787.5,4.396847450653982e-51,0.05,Different distribution (reject H0)
MATS3v,1036336211.0,1.2550305590923365e-157,0.05,Different distribution (reject H0)
MATS4v,1120355720.5,4.645657903816211e-13,0.05,Different distribution (reject H0)
MATS5v,1070908147.0,4.712566937598515e-78,0.05,Different distribution (reject H0)
MATS6v,1041125996.5,6.354479277514578e-145,0.05,Different distribution (reject H0)
MATS7v,1080292771.5,2.626756226863132e-61,0.05,Different distribution (reject H0)
MATS8v,1075735748.5,3.5191525093181396e-69,0.05,Different distribution (reject H0)
MATS1se,991422980.5,4.6513031038159525e-303,0.05,Different distribution (reject H0)
MATS2se,897820873.5,0.0,0.05,Different distribution (reject H0)
MATS3se,1081109347.0,6.006234644090201e-60,0.05,Different distribution (reject H0)
MATS4se,919639832.0,0.0,0.05,Different distribution (reject H0)
MATS5se,1125611959.5,1.6541813759932206e-09,0.05,Different distribution (reject H0)
MATS6se,922306170.0,0.0,0.05,Different distribution (reject H0)
MATS7se,1073780907.5,1.0458447321059619e-72,0.05,Different distribution (reject H0)
MATS8se,1123788679.0,1.1452651769073103e-10,0.05,Different distribution (reject H0)
MATS1pe,1042387043.0,1.1428806936039255e-141,0.05,Different distribution (reject H0)
MATS2pe,887835727.0,0.0,0.05,Different distribution (reject H0)
MATS3pe,1113612894.5,1.4901137131260196e-18,0.05,Different distribution (reject H0)
MATS4pe,957700816.5,0.0,0.05,Different distribution (reject H0)
MATS5pe,1146039295.0,0.12416701353156456,0.05,Same distribution (fail to reject H0)
MATS6pe,935092772.5,0.0,0.05,Different distribution (reject H0)
MATS7pe,1066668028.5,2.6767986766187774e-86,0.05,Different distribution (reject H0)
MATS8pe,1144788114.0,0.07408510180814167,0.05,Same distribution (fail to reject H0)
MATS1are,1035089971.5,5.0642800310990474e-161,0.05,Different distribution (reject H0)
MATS2are,893305713.0,0.0,0.05,Different distribution (reject H0)
MATS3are,1105816617.0,3.164330605259116e-26,0.05,Different distribution (reject H0)
MATS4are,945359541.0,0.0,0.05,Different distribution (reject H0)
MATS5are,1139439855.5,0.0035451524372527693,0.05,Different distribution (reject H0)
MATS6are,935178159.5,0.0,0.05,Different distribution (reject H0)
MATS7are,1061653764.0,1.3505357012420643e-96,0.05,Different distribution (reject H0)
MATS8are,1132589350.5,8.963569775068363e-06,0.05,Different distribution (reject H0)
MATS1p,1141028331.0,0.010107367274831436,0.05,Different distribution (reject H0)
MATS2p,1105611470.5,1.9019690782475482e-26,0.05,Different distribution (reject H0)
MATS3p,990715345.0,9.902364235875522e-306,0.05,Different distribution (reject H0)
MATS4p,1101601486.5,5.754675772073965e-31,0.05,Different distribution (reject H0)
MATS5p,988049248.0,0.0,0.05,Different distribution (reject H0)
MATS6p,1018700905.5,4.6098644154866486e-209,0.05,Different distribution (reject H0)
MATS7p,1091024616.0,1.0772227263431846e-44,0.05,Different distribution (reject H0)
MATS8p,1150090096.5,0.41673125919193543,0.05,Same distribution (fail to reject H0)
MATS1i,1082713985.5,2.534238585357293e-57,0.05,Different distribution (reject H0)
MATS2i,1102967289.0,2.195470769566364e-29,0.05,Different distribution (reject H0)
MATS3i,1027758722.5,9.931760959347128e-182,0.05,Different distribution (reject H0)
MATS4i,1126558137.0,6.169121586695273e-09,0.05,Different distribution (reject H0)
MATS5i,1019603239.0,2.9739242725027484e-206,0.05,Different distribution (reject H0)
MATS6i,1050168252.0,2.0589495736690313e-122,0.05,Different distribution (reject H0)
MATS7i,1117895897.0,6.0995366527553495e-15,0.05,Different distribution (reject H0)
MATS8i,1073815171.0,1.207979261855753e-72,0.05,Different distribution (reject H0)
GATS1c,976662614.5,0.0,0.05,Different distribution (reject H0)
GATS2c,1068789892.5,4.044125024054131e-82,0.05,Different distribution (reject H0)
GATS3c,1117794372.5,5.065389299157491e-15,0.05,Different distribution (reject H0)
GATS4c,1030432111.5,4.9528673900548305e-174,0.05,Different distribution (reject H0)
GATS5c,1044218533.0,5.231198416247184e-137,0.05,Different distribution (reject H0)
GATS6c,965215170.5,0.0,0.05,Different distribution (reject H0)
GATS7c,1059275118.5,1.0935748805100248e-101,0.05,Different distribution (reject H0)
GATS8c,1054976339.5,3.15587701728289e-111,0.05,Different distribution (reject H0)
GATS1dv,1051487607.5,2.7363622385707117e-119,0.05,Different distribution (reject H0)
GATS2dv,994906181.5,4.437321865708251e-290,0.05,Different distribution (reject H0)
GATS3dv,1098931448.0,3.4840545626072235e-34,0.05,Different distribution (reject H0)
GATS4dv,1095326273.0,8.550165984871318e-39,0.05,Different distribution (reject H0)
GATS5dv,1140749369.5,0.008484996314038625,0.05,Different distribution (reject H0)
GATS6dv,1002753743.0,6.943573270324829e-262,0.05,Different distribution (reject H0)
GATS7dv,1104910475.5,3.2835128538899874e-27,0.05,Different distribution (reject H0)
GATS8dv,1072103518.5,8.344992369363182e-76,0.05,Different distribution (reject H0)
GATS1d,1135655139.0,0.00017531657512745286,0.05,Different distribution (reject H0)
GATS2d,1130469916.0,8.624352383812224e-07,0.05,Different distribution (reject H0)
GATS3d,1096059266.5,7.83381309094065e-38,0.05,Different distribution (reject H0)
GATS4d,1002415604.0,4.5358399555093344e-263,0.05,Different distribution (reject H0)
GATS5d,1148841394.0,0.30807831787229745,0.05,Same distribution (fail to reject H0)
GATS6d,1086489018.0,2.1943930250832076e-51,0.05,Different distribution (reject H0)
GATS7d,1137020891.5,0.0005642249366579359,0.05,Different distribution (reject H0)
GATS8d,1144334757.5,0.06036805361490812,0.05,Same distribution (fail to reject H0)
GATS1s,1113294319.0,7.717465563411217e-19,0.05,Different distribution (reject H0)
GATS2s,950378638.5,0.0,0.05,Different distribution (reject H0)
GATS3s,1094187068.5,2.5812040620975864e-40,0.05,Different distribution (reject H0)
GATS4s,1138564713.5,0.0018864670828920738,0.05,Different distribution (reject H0)
GATS5s,1091899804.0,1.852615464474599e-43,0.05,Different distribution (reject H0)
GATS6s,1030866599.0,8.510094765639478e-173,0.05,Different distribution (reject H0)
GATS7s,1111945791.5,4.484729801946297e-20,0.05,Different distribution (reject H0)
GATS8s,1058612652.0,3.953195252366428e-103,0.05,Different distribution (reject H0)
GATS1Z,1035857247.5,6.288159495582735e-159,0.05,Different distribution (reject H0)
GATS2Z,923402285.0,0.0,0.05,Different distribution (reject H0)
GATS3Z,1097087560.0,1.6683703592640046e-36,0.05,Different distribution (reject H0)
GATS4Z,1103633781.0,1.2514769737819076e-28,0.05,Different distribution (reject H0)
GATS5Z,1014278238.5,4.121714407042238e-223,0.05,Different distribution (reject H0)
GATS6Z,1052043813.5,5.516819819936407e-118,0.05,Different distribution (reject H0)
GATS7Z,1097027721.0,1.3985353902478492e-36,0.05,Different distribution (reject H0)
GATS8Z,1143337730.5,0.03720583706091139,0.05,Different distribution (reject H0)
GATS1m,1032476748.0,2.9416096151476645e-168,0.05,Different distribution (reject H0)
GATS2m,924922857.0,0.0,0.05,Different distribution (reject H0)
GATS3m,1093491034.0,2.9381697038589213e-41,0.05,Different distribution (reject H0)
GATS4m,1099325726.0,1.0660619086503161e-33,0.05,Different distribution (reject H0)
GATS5m,1015078713.5,1.5558120626858752e-220,0.05,Different distribution (reject H0)
GATS6m,1051946530.5,3.2662452605023384e-118,0.05,Different distribution (reject H0)
GATS7m,1093437807.0,2.485636101667384e-41,0.05,Different distribution (reject H0)
GATS8m,1142474138.5,0.02355244343568841,0.05,Different distribution (reject H0)
GATS1v,1071354726.0,3.2891569070457477e-77,0.05,Different distribution (reject H0)
GATS2v,1060617244.5,8.474946216250119e-99,0.05,Different distribution (reject H0)
GATS3v,1069556251.0,1.2308295730625394e-80,0.05,Different distribution (reject H0)
GATS4v,1086486584.5,2.175679435803619e-51,0.05,Different distribution (reject H0)
GATS5v,1078034282.5,3.789231912322829e-65,0.05,Different distribution (reject H0)
GATS6v,1028787787.5,9.551705815848223e-179,0.05,Different distribution (reject H0)
GATS7v,1078135131.0,5.657378150680734e-65,0.05,Different distribution (reject H0)
GATS8v,1078336176.5,1.2557537057213688e-64,0.05,Different distribution (reject H0)
GATS1se,1003335898.5,7.503900598978839e-260,0.05,Different distribution (reject H0)
GATS2se,985089724.0,0.0,0.05,Different distribution (reject H0)
GATS3se,1125105099.0,8.014704397979253e-10,0.05,Different distribution (reject H0)
GATS4se,1063745519.0,3.14773051714864e-92,0.05,Different distribution (reject H0)
GATS5se,1102959322.0,2.1499540320068076e-29,0.05,Different distribution (reject H0)
GATS6se,957684272.5,0.0,0.05,Different distribution (reject H0)
GATS7se,1143673846.0,0.04402885538663944,0.05,Different distribution (reject H0)
GATS8se,1051992877.5,4.192982752010573e-118,0.05,Different distribution (reject H0)
GATS1pe,1000358191.5,2.448305176509547e-270,0.05,Different distribution (reject H0)
GATS2pe,969108086.5,0.0,0.05,Different distribution (reject H0)
GATS3pe,1119764218.0,1.687994357722674e-13,0.05,Different distribution (reject H0)
GATS4pe,1066243978.0,3.799325122930163e-87,0.05,Different distribution (reject H0)
GATS5pe,1108862670.5,4.6463660707561695e-23,0.05,Different distribution (reject H0)
GATS6pe,955197653.5,0.0,0.05,Different distribution (reject H0)
GATS7pe,1139515882.5,0.003738103302011963,0.05,Different distribution (reject H0)
GATS8pe,1079966238.0,7.439063998334526e-62,0.05,Different distribution (reject H0)
GATS1are,1008982491.0,1.536744187928451e-240,0.05,Different distribution (reject H0)
GATS2are,983484947.5,0.0,0.05,Different distribution (reject H0)
GATS3are,1128589403.0,8.871720271286508e-08,0.05,Different distribution (reject H0)
GATS4are,1058511324.0,2.3748789922222637e-103,0.05,Different distribution (reject H0)
GATS5are,1116456472.5,4.1588321111075533e-16,0.05,Different distribution (reject H0)
GATS6are,968726699.5,0.0,0.05,Different distribution (reject H0)
GATS7are,1138699384.0,0.0020840022670999417,0.05,Different distribution (reject H0)
GATS8are,1070442274.5,6.137203302059758e-79,0.05,Different distribution (reject H0)
GATS1p,1059009536.5,2.8979087620091776e-102,0.05,Different distribution (reject H0)
GATS2p,1071849712.0,2.7983223959876783e-76,0.05,Different distribution (reject H0)
GATS3p,1081109290.0,6.004929862895806e-60,0.05,Different distribution (reject H0)
GATS4p,1036507591.5,3.652140490330377e-157,0.05,Different distribution (reject H0)
GATS5p,1010723805.0,9.778396592885436e-235,0.05,Different distribution (reject H0)
GATS6p,1010606319.5,3.98975311630003e-235,0.05,Different distribution (reject H0)
GATS7p,1072469460.5,4.00816793909241e-75,0.05,Different distribution (reject H0)
GATS8p,1139721043.5,0.004306625604731681,0.05,Different distribution (reject H0)
GATS1i,1049537395.5,6.391849745231109e-124,0.05,Different distribution (reject H0)
GATS2i,1083070008.0,9.508462400119115e-57,0.05,Different distribution (reject H0)
GATS3i,1107669455.5,2.834175302404747e-24,0.05,Different distribution (reject H0)
GATS4i,1125680095.5,1.8215284891267193e-09,0.05,Different distribution (reject H0)
GATS5i,1037626833.5,3.7592215859034455e-154,0.05,Different distribution (reject H0)
GATS6i,1073482543.5,2.9733479758109915e-73,0.05,Different distribution (reject H0)
GATS7i,1138679670.5,0.0020539606994495418,0.05,Different distribution (reject H0)
GATS8i,1093726507.0,6.146509879927292e-41,0.05,Different distribution (reject H0)
BCUTc-1h,1020457584.0,1.2994305983627022e-203,0.05,Different distribution (reject H0)
BCUTc-1l,1096171666.0,1.096480494026804e-37,0.05,Different distribution (reject H0)
BCUTdv-1h,1024343019.5,8.217158255702573e-192,0.05,Different distribution (reject H0)
BCUTdv-1l,1024925033.5,4.485302621633075e-190,0.05,Different distribution (reject H0)
BCUTd-1h,1069038112.5,1.2245145365306982e-81,0.05,Different distribution (reject H0)
BCUTd-1l,1087305488.0,3.8101225124198515e-50,0.05,Different distribution (reject H0)
BCUTs-1h,1078767135.0,6.876440940819381e-64,0.05,Different distribution (reject H0)
BCUTs-1l,1134916036.0,8.948681761539793e-05,0.05,Different distribution (reject H0)
BCUTZ-1h,994361663.0,4.304259505536004e-292,0.05,Different distribution (reject H0)
BCUTZ-1l,1106252538.0,9.258469895335746e-26,0.05,Different distribution (reject H0)
BCUTm-1h,998133386.5,2.5976760602988174e-278,0.05,Different distribution (reject H0)
BCUTm-1l,1100650123.0,4.288203692425415e-32,0.05,Different distribution (reject H0)
BCUTv-1h,1021964681.5,5.412475642534423e-199,0.05,Different distribution (reject H0)
BCUTv-1l,994717258.0,8.860307286476884e-291,0.05,Different distribution (reject H0)
BCUTse-1h,1057519939.5,1.5677618632581227e-105,0.05,Different distribution (reject H0)
BCUTse-1l,1099457861.5,1.5467152082150004e-33,0.05,Different distribution (reject H0)
BCUTpe-1h,1045938677.5,1.0532749689860584e-132,0.05,Different distribution (reject H0)
BCUTpe-1l,1114069903.5,3.791581378168052e-18,0.05,Different distribution (reject H0)
BCUTare-1h,1041355849.5,2.4984192253981276e-144,0.05,Different distribution (reject H0)
BCUTare-1l,1117798176.5,5.099199894104371e-15,0.05,Different distribution (reject H0)
BCUTp-1h,1036100234.5,2.865156460479913e-158,0.05,Different distribution (reject H0)
BCUTp-1l,1009669667.5,3.0407368238649744e-238,0.05,Different distribution (reject H0)
BCUTi-1h,1059296516.5,1.2139643133898428e-101,0.05,Different distribution (reject H0)
BCUTi-1l,1019669052.5,4.7355931465610633e-206,0.05,Different distribution (reject H0)
BalabanJ,1089084059.5,1.693136751267462e-47,0.05,Different distribution (reject H0)
SpAbs_DzZ,1147869352.5,0.2333473099397444,0.05,Same distribution (fail to reject H0)
SpMax_DzZ,1147917121.5,0.23676918617747394,0.05,Same distribution (fail to reject H0)
SpDiam_DzZ,1149945198.5,0.40360134968352906,0.05,Same distribution (fail to reject H0)
SpAD_DzZ,1147968406.5,0.24047343787098213,0.05,Same distribution (fail to reject H0)
SpMAD_DzZ,1136588437.5,0.00039370062398784287,0.05,Different distribution (reject H0)
LogEE_DzZ,1147917121.5,0.23676918617747394,0.05,Same distribution (fail to reject H0)
SM1_DzZ,1089092724.5,1.7195063783805192e-47,0.05,Different distribution (reject H0)
VE1_DzZ,1138044137.5,0.0012726801429087534,0.05,Different distribution (reject H0)
VE2_DzZ,1112228560.5,8.20720413382796e-20,0.05,Different distribution (reject H0)
VE3_DzZ,1139098469.5,0.002784316811187682,0.05,Different distribution (reject H0)
VR1_DzZ,1140370143.5,0.006647674440111448,0.05,Different distribution (reject H0)
VR2_DzZ,1140433837.0,0.006929198429271945,0.05,Different distribution (reject H0)
VR3_DzZ,1141116860.0,0.010675589503053869,0.05,Different distribution (reject H0)
SpAbs_Dzm,1147816250.5,0.22957583464496378,0.05,Same distribution (fail to reject H0)
SpMax_Dzm,1147867446.5,0.23321134752604178,0.05,Same distribution (fail to reject H0)
SpDiam_Dzm,1149990785.0,0.40772107469503027,0.05,Same distribution (fail to reject H0)
SpAD_Dzm,1147920369.5,0.23700285059850984,0.05,Same distribution (fail to reject H0)
SpMAD_Dzm,1136513315.5,0.00036948746126152967,0.05,Different distribution (reject H0)
LogEE_Dzm,1147867446.5,0.23321134752604178,0.05,Same distribution (fail to reject H0)
SM1_Dzm,1087536553.5,8.382102299231735e-50,0.05,Different distribution (reject H0)
VE1_Dzm,1138037657.5,0.0012663519031756545,0.05,Different distribution (reject H0)
VE2_Dzm,1112233475.5,8.2936127383333e-20,0.05,Different distribution (reject H0)
VE3_Dzm,1139096158.0,0.002779711756915431,0.05,Different distribution (reject H0)
VR1_Dzm,1140380612.5,0.006693241204076221,0.05,Different distribution (reject H0)
VR2_Dzm,1140466023.5,0.007075426175707408,0.05,Different distribution (reject H0)
VR3_Dzm,1141123058.5,0.010716420857921101,0.05,Different distribution (reject H0)
SpAbs_Dzv,1144782084.5,0.07388716610878666,0.05,Same distribution (fail to reject H0)
SpMax_Dzv,1144486412.5,0.06471517222591565,0.05,Same distribution (fail to reject H0)
SpDiam_Dzv,1136727362.5,0.0004424006863627276,0.05,Different distribution (reject H0)
SpAD_Dzv,1144410094.5,0.06249760165426268,0.05,Same distribution (fail to reject H0)
SpMAD_Dzv,1134800258.0,8.03353803059056e-05,0.05,Different distribution (reject H0)
LogEE_Dzv,1144486412.5,0.06471517222591565,0.05,Same distribution (fail to reject H0)
SM1_Dzv,1128961051.5,1.4087776799496251e-07,0.05,Different distribution (reject H0)
VE1_Dzv,1138933054.5,0.002471612716614365,0.05,Different distribution (reject H0)
VE2_Dzv,1111356782.5,1.2546033567354479e-20,0.05,Different distribution (reject H0)
VE3_Dzv,1139692703.5,0.004223576692916171,0.05,Different distribution (reject H0)
VR1_Dzv,1139761034.5,0.004425872066955682,0.05,Different distribution (reject H0)
VR2_Dzv,1138675325.0,0.002047294434701738,0.05,Different distribution (reject H0)
VR3_Dzv,1140860164.0,0.00909945433513518,0.05,Different distribution (reject H0)
SpAbs_Dzse,1149346085.0,0.3506094117656047,0.05,Same distribution (fail to reject H0)
SpMax_Dzse,1149420228.0,0.3570352880628952,0.05,Same distribution (fail to reject H0)
SpDiam_Dzse,1143586516.0,0.04216498179466518,0.05,Different distribution (reject H0)
SpAD_Dzse,1149427468.0,0.3576649835655173,0.05,Same distribution (fail to reject H0)
SpMAD_Dzse,1150940321.0,0.4951743334141557,0.05,Same distribution (fail to reject H0)
LogEE_Dzse,1149420228.0,0.3570352880628952,0.05,Same distribution (fail to reject H0)
SM1_Dzse,1149181649.5,0.33650264276458813,0.05,Same distribution (fail to reject H0)
VE1_Dzse,1138079066.5,0.0013072919940519017,0.05,Different distribution (reject H0)
VE2_Dzse,1112145507.5,6.874637619745743e-20,0.05,Different distribution (reject H0)
VE3_Dzse,1138989478.5,0.0025745157300452104,0.05,Different distribution (reject H0)
VR1_Dzse,1139999667.0,0.005201949467017871,0.05,Different distribution (reject H0)
VR2_Dzse,1139110647.0,0.002808691123150139,0.05,Different distribution (reject H0)
VR3_Dzse,1140932103.0,0.009519185296571277,0.05,Different distribution (reject H0)
SpAbs_Dzpe,1149049977.5,0.325385465178847,0.05,Same distribution (fail to reject H0)
SpMax_Dzpe,1149128032.5,0.3319631845422225,0.05,Same distribution (fail to reject H0)
SpDiam_Dzpe,1143212400.5,0.03489319763703194,0.05,Different distribution (reject H0)
SpAD_Dzpe,1149135129.5,0.33256386647635827,0.05,Same distribution (fail to reject H0)
SpMAD_Dzpe,1150317327.5,0.43750353546587883,0.05,Same distribution (fail to reject H0)
LogEE_Dzpe,1149128032.5,0.3319631845422225,0.05,Same distribution (fail to reject H0)
SM1_Dzpe,1149005025.5,0.32161178589537204,0.05,Same distribution (fail to reject H0)
VE1_Dzpe,1138140815.0,0.0013705921290127203,0.05,Different distribution (reject H0)
VE2_Dzpe,1112076696.0,5.934398696287493e-20,0.05,Different distribution (reject H0)
VE3_Dzpe,1139021026.0,0.0026337232250160736,0.05,Different distribution (reject H0)
VR1_Dzpe,1139923655.5,0.004942528126312645,0.05,Different distribution (reject H0)
VR2_Dzpe,1138863594.5,0.0023500506922311927,0.05,Different distribution (reject H0)
VR3_Dzpe,1140892135.0,0.009283947168939946,0.05,Different distribution (reject H0)
SpAbs_Dzare,1148508180.5,0.28130413017126465,0.05,Same distribution (fail to reject H0)
SpMax_Dzare,1148607709.5,0.2891827415597794,0.05,Same distribution (fail to reject H0)
SpDiam_Dzare,1142592628.5,0.025129735566308067,0.05,Different distribution (reject H0)
SpAD_Dzare,1148614229.5,0.28970245784931503,0.05,Same distribution (fail to reject H0)
SpMAD_Dzare,1149257978.5,0.3430286819821966,0.05,Same distribution (fail to reject H0)
LogEE_Dzare,1148607709.5,0.2891827415597794,0.05,Same distribution (fail to reject H0)
SM1_Dzare,1141586255.5,0.014173793706016905,0.05,Different distribution (reject H0)
VE1_Dzare,1138166819.5,0.001398078327995775,0.05,Different distribution (reject H0)
VE2_Dzare,1112042234.5,5.512478649432167e-20,0.05,Different distribution (reject H0)
VE3_Dzare,1139034953.5,0.0026602511805586104,0.05,Different distribution (reject H0)
VR1_Dzare,1139884548.5,0.00481360254933582,0.05,Different distribution (reject H0)
VR2_Dzare,1138710060.5,0.0021003389519142885,0.05,Different distribution (reject H0)
VR3_Dzare,1140868385.5,0.009146588333474903,0.05,Different distribution (reject H0)
SpAbs_Dzp,1137613403.5,0.0009095176521922028,0.05,Different distribution (reject H0)
SpMax_Dzp,1136971695.5,0.0005418245808476553,0.05,Different distribution (reject H0)
SpDiam_Dzp,1128741911.0,1.0741300589264557e-07,0.05,Different distribution (reject H0)
SpAD_Dzp,1136695434.5,0.00043073804352972194,0.05,Different distribution (reject H0)
SpMAD_Dzp,1119359436.5,8.350005514357227e-14,0.05,Different distribution (reject H0)
LogEE_Dzp,1136971695.5,0.0005418245808476553,0.05,Different distribution (reject H0)
SM1_Dzp,1132261896.5,6.331089650304895e-06,0.05,Different distribution (reject H0)
VE1_Dzp,1140060711.5,0.005418989516507657,0.05,Different distribution (reject H0)
VE2_Dzp,1110146803.5,8.649408446801436e-22,0.05,Different distribution (reject H0)
VE3_Dzp,1140541368.5,0.007428423829574327,0.05,Different distribution (reject H0)
VR1_Dzp,1139247853.5,0.003096929884610129,0.05,Different distribution (reject H0)
VR2_Dzp,1137759929.5,0.001020712631235085,0.05,Different distribution (reject H0)
VR3_Dzp,1140561231.0,0.007524028363446837,0.05,Different distribution (reject H0)
SpAbs_Dzi,1150677797.5,0.47078984036007787,0.05,Same distribution (fail to reject H0)
SpMax_Dzi,1150670870.5,0.4701475047438149,0.05,Same distribution (fail to reject H0)
SpDiam_Dzi,1145546919.5,0.10218974953430499,0.05,Same distribution (fail to reject H0)
SpAD_Dzi,1150707926.5,0.4735845429673922,0.05,Same distribution (fail to reject H0)
SpMAD_Dzi,1147932746.5,0.23789442517484294,0.05,Same distribution (fail to reject H0)
LogEE_Dzi,1150670870.5,0.4701475047438149,0.05,Same distribution (fail to reject H0)
SM1_Dzi,1149013167.5,0.32229219088665517,0.05,Same distribution (fail to reject H0)
VE1_Dzi,1138886747.5,0.002389955794379564,0.05,Different distribution (reject H0)
VE2_Dzi,1111350682.5,1.2380450383092073e-20,0.05,Different distribution (reject H0)
VE3_Dzi,1139495175.5,0.0036844842039553487,0.05,Different distribution (reject H0)
VR1_Dzi,1139259502.5,0.0031225879139504943,0.05,Different distribution (reject H0)
VR2_Dzi,1136938569.5,0.0005272292384177613,0.05,Different distribution (reject H0)
VR3_Dzi,1140520453.0,0.0073289094860315976,0.05,Different distribution (reject H0)
BertzCT,1064650013.0,2.2628015073518436e-90,0.05,Different distribution (reject H0)
nBonds,1127214643.0,1.4836940603201798e-08,0.05,Different distribution (reject H0)
nBondsO,1143157886.0,0.03378468379588512,0.05,Different distribution (reject H0)
nBondsS,1084859132.5,6.187230739754116e-54,0.05,Different distribution (reject H0)
nBondsD,1053611513.0,9.644552968769898e-125,0.05,Different distribution (reject H0)
nBondsT,1012324625.0,0.0,0.05,Different distribution (reject H0)
nBondsA,1012465631.5,1.114724017671194e-239,0.05,Different distribution (reject H0)
nBondsM,1013318393.0,4.228384881346283e-228,0.05,Different distribution (reject H0)
nBondsKS,1106960690.5,5.041306206514754e-25,0.05,Different distribution (reject H0)
nBondsKD,1039053134.0,9.46530937925649e-153,0.05,Different distribution (reject H0)
RNCG,1137531945.5,0.0008526745623287457,0.05,Different distribution (reject H0)
RPCG,1036679968.5,1.0676770804515162e-156,0.05,Different distribution (reject H0)
C1SP1,1107744160.5,1.1566258506303531e-216,0.05,Different distribution (reject H0)
C2SP1,1068359923.5,9.130999933447118e-304,0.05,Different distribution (reject H0)
C1SP2,975840711.5,0.0,0.05,Different distribution (reject H0)
C2SP2,981561601.0,0.0,0.05,Different distribution (reject H0)
C3SP2,1013765186.5,1.6769829926273718e-240,0.05,Different distribution (reject H0)
C1SP3,1142672391.0,0.025283688224876318,0.05,Different distribution (reject H0)
C2SP3,917286854.5,0.0,0.05,Different distribution (reject H0)
C3SP3,964601817.0,0.0,0.05,Different distribution (reject H0)
C4SP3,1123722703.5,1.8757132590415529e-85,0.05,Different distribution (reject H0)
HybRatio,958426280.0,0.0,0.05,Different distribution (reject H0)
FCSP3,968576690.5,0.0,0.05,Different distribution (reject H0)
Xch-3d,1136627607.5,4.008586947798345e-12,0.05,Different distribution (reject H0)
Xch-4d,1058915648.0,3.0450698511733106e-163,0.05,Different distribution (reject H0)
Xch-5d,1149932829.5,0.4006727522920401,0.05,Same distribution (fail to reject H0)
Xch-6d,1121006838.0,1.371744988030536e-12,0.05,Different distribution (reject H0)
Xch-7d,1116263220.0,2.874838196806309e-16,0.05,Different distribution (reject H0)
Xch-3dv,1136624887.5,3.9725232582021836e-12,0.05,Different distribution (reject H0)
Xch-4dv,1059266497.0,5.131942147611047e-162,0.05,Different distribution (reject H0)
Xch-5dv,1137308635.5,0.0005784486742014614,0.05,Different distribution (reject H0)
Xch-6dv,1101288236.0,2.4569585049723373e-31,0.05,Different distribution (reject H0)
Xch-7dv,1091613053.0,7.327025752046689e-44,0.05,Different distribution (reject H0)
Xc-3d,1090353908.5,1.183802479891905e-45,0.05,Different distribution (reject H0)
Xc-4d,976955274.0,0.0,0.05,Different distribution (reject H0)
Xc-5d,1075674412.5,2.7289546019999494e-69,0.05,Different distribution (reject H0)
Xc-6d,981785971.5,0.0,0.05,Different distribution (reject H0)
Xc-3dv,1114131385.0,4.297417604468358e-18,0.05,Different distribution (reject H0)
Xc-4dv,987406498.5,0.0,0.05,Different distribution (reject H0)
Xc-5dv,1150837181.0,0.4855870087483961,0.05,Same distribution (fail to reject H0)
Xc-6dv,990056312.0,0.0,0.05,Different distribution (reject H0)
Xpc-4d,1104834529.0,2.7101771289905584e-27,0.05,Different distribution (reject H0)
Xpc-5d,1133411513.5,2.086994987220999e-05,0.05,Different distribution (reject H0)
Xpc-6d,1147759212.5,0.2255643162306188,0.05,Same distribution (fail to reject H0)
Xpc-4dv,1150130523.0,0.42041167165454874,0.05,Same distribution (fail to reject H0)
Xpc-5dv,1117783481.0,4.965269832991307e-15,0.05,Different distribution (reject H0)
Xpc-6dv,1104708396.5,1.9691991774425784e-27,0.05,Different distribution (reject H0)
Xp-0d,1135837714.0,0.0002060996054664092,0.05,Different distribution (reject H0)
Xp-1d,1131473316.5,2.6902359193190486e-06,0.05,Different distribution (reject H0)
